"id";"type";"specialization";"name";"documentation";"sourceid";"targetid"
"id-325b65bb51fc4e9ea730751c48063e03";"CompositionRelationship";;;;"id-ee2b8ba9fd6a4591ad7409b51e02acb7";"id-479bc550b1884fca9cd95c1f112a12be"
"id-9641eeeac3894ade957445c582b6edeb";"RealizationRelationship";;;;"id-545855797e6f416ab5351b1794d30452";"id-40ceb8af4e564a77a64c2ef711ea57f5"
"id-37acab5edc01492784c31c51d9886d1d";"TriggeringRelationship";;;;"id-044d2a287dd34b599c8e1320ece22089";"id-57ec01d1eca94c96b297b9f8e8eb49da"
"id-a2c22b15301c4bddb176f667d9757af9";"TriggeringRelationship";;;;"id-57ec01d1eca94c96b297b9f8e8eb49da";"id-797c775acc904e4ba11ac066f02009d5"
"id-0b25d1e8de114fa8a600fa1ed4b62381";"TriggeringRelationship";;;;"id-57ec01d1eca94c96b297b9f8e8eb49da";"id-a4c8bf2f1fec4135a1a74805bdb30ba9"
"id-47119f5e37fd41a38be733f21b6d4ee4";"TriggeringRelationship";;;;"id-797c775acc904e4ba11ac066f02009d5";"id-e875afae71a740208ae6c31b28c35e73"
"id-42ebeb793ac846e9a198ff7955ec48ec";"TriggeringRelationship";;;;"id-a4c8bf2f1fec4135a1a74805bdb30ba9";"id-e875afae71a740208ae6c31b28c35e73"
"id-5eebd691ba79403d84633f45e220ccdc";"TriggeringRelationship";;;;"id-e875afae71a740208ae6c31b28c35e73";"id-5990e214084145f79bdb9984f437610f"
"id-b8cad1c45bbd4503afae5bb3e2ad16c6";"TriggeringRelationship";;;;"id-5990e214084145f79bdb9984f437610f";"id-8146627f108f456eb65c96a42b41253f"
"id-8ecd71bbcb9b4273837bf1c6257158c3";"CompositionRelationship";;;;"id-c062a987dc4a4c67a64e5f45b0c9f605";"id-83ff4e85699c43d6acda84f4123b8439"
"id-dcf5827bf35c4de48db1643b2cb6d69d";"CompositionRelationship";;;;"id-c062a987dc4a4c67a64e5f45b0c9f605";"id-067a1a975ffe4f178e5f766679dc1b3f"
"id-7df9f0b4031c4659b036706d44f97321";"CompositionRelationship";;;;"id-c062a987dc4a4c67a64e5f45b0c9f605";"id-d252ba1f03e145fbbd0a0e2a51f2339d"
"id-97db41c01677490292fdba73e2152310";"RealizationRelationship";;;;"id-cab643176103473f846121ad2075ee8a";"id-ee2b8ba9fd6a4591ad7409b51e02acb7"
"id-e5b1a6bd52a44b75b3e624bb7570f5b6";"RealizationRelationship";;;;"id-83ff4e85699c43d6acda84f4123b8439";"id-3c738372322d4ee787a9387b03c9523b"
"id-35c9396619f547afa5a707c53590c660";"RealizationRelationship";;;;"id-83ff4e85699c43d6acda84f4123b8439";"id-e3db9bcce34742c59d56a47f1eada354"
"id-8a1d5b7700914856980947bdc04f5a5d";"RealizationRelationship";;;;"id-067a1a975ffe4f178e5f766679dc1b3f";"id-8ec059a348f3437b83c8e0c41054b246"
"id-208736905f404229883e237e0f0a62a8";"RealizationRelationship";;;;"id-067a1a975ffe4f178e5f766679dc1b3f";"id-c4cfc11a161c46b5bc7cc50cbbff9f88"
"id-1beb32ebbe084584aa303441451f9e74";"RealizationRelationship";;;;"id-edcdf887d79345a48dcf029b4974e8d5";"id-867102366ca34f68af18f77a4314116c"
"id-6fd7631d0b8948e6ac95fb953daa6ab0";"RealizationRelationship";;;;"id-edcdf887d79345a48dcf029b4974e8d5";"id-b21499b418c443d8b18d033907ce1266"
"id-1112f05a88f546adb15669012f60857a";"RealizationRelationship";;;;"id-4119b884e63a4636b38039e9acbeeecb";"id-de38273919394e238e6df505d2521689"
"id-d96689f3d82947478e3cb9cb02f06a15";"RealizationRelationship";;;;"id-4119b884e63a4636b38039e9acbeeecb";"id-b21499b418c443d8b18d033907ce1266"
"id-4ea562e30fb94fed934c4b770ee072c7";"RealizationRelationship";;;;"id-4119b884e63a4636b38039e9acbeeecb";"id-867102366ca34f68af18f77a4314116c"
"id-933da2312d724c0bbe671e37f3fe0f53";"RealizationRelationship";;;;"id-e3db9bcce34742c59d56a47f1eada354";"id-2f59e59f3b79494bbd471468e670bd79"
"id-2918dc87cd6e461d86be6329313c9115";"RealizationRelationship";;;;"id-3c738372322d4ee787a9387b03c9523b";"id-bba5ad8d7e99407787c00d9c8b8e0f7f"
"id-0b02ceb7cce0435399b63b04364fbac5";"RealizationRelationship";;;;"id-83ff4e85699c43d6acda84f4123b8439";"id-2f59e59f3b79494bbd471468e670bd79"
"id-264e5cb6d33b4bd6a8af89c34f7eb453";"RealizationRelationship";;;;"id-83ff4e85699c43d6acda84f4123b8439";"id-bba5ad8d7e99407787c00d9c8b8e0f7f"
"id-c3afdbe2ca3d49318a726e83c99fd3fb";"RealizationRelationship";;;;"id-83ff4e85699c43d6acda84f4123b8439";"id-c94a44ffe0f3470b919507325e2d44df"
"id-8abc6ab0839e4892aa7c9784ffff86f7";"RealizationRelationship";;;;"id-d252ba1f03e145fbbd0a0e2a51f2339d";"id-6610a957cdb44757b0b3f59ba7885bb3"
"id-88d46e94d3094177ac313e473a0cdbd5";"RealizationRelationship";;;;"id-cab643176103473f846121ad2075ee8a";"id-f3bac7dc9a2a4bd0a6ff856c57cde494"
"id-c91f72c3dd2c42ccade28c4f9ff281c7";"RealizationRelationship";;;;"id-8ec059a348f3437b83c8e0c41054b246";"id-c94a44ffe0f3470b919507325e2d44df"
"id-c257b07fc87f41adac2aab7ca1ec41f8";"RealizationRelationship";;;;"id-8ec059a348f3437b83c8e0c41054b246";"id-6610a957cdb44757b0b3f59ba7885bb3"
